,Country,Value,Year,Sex,Indicator
19,Switzerland,13.2,2014,W,EMP8
20,United Kingdom,6.9,2014,W,EMP8
21,Estonia,3.0,2014,W,EMP8
22,Slovenia,17.2,2014,W,EMP8
23,Latvia,2.4,2014,W,EMP8
24,Lithuania,2.0,2014,W,EMP8
0,Austria,9.0,2015,W,EMP8
1,Belgium,9.7,2015,W,EMP8
2,Czech Republic,12.4,2015,W,EMP8
3,Denmark,9.4,2015,W,EMP8
4,France,17.6,2015,W,EMP8
5,Germany,13.1,2015,W,EMP8
6,Greece,12.7,2015,W,EMP8
7,Hungary,11.1,2015,W,EMP8
8,Iceland,13.9,2015,W,EMP8
9,Ireland,8.7,2015,W,EMP8
